country,AI_INDEX,LEGAL_WGI_SCORE,PQC,RES_INDEX,AI_OBSERVED,LEGAL_OBSERVED,PQC_OBSERVED,RES_OBSERVED,AI_IMPUTED,LEGAL_IMPUTED,PQC_IMPUTED,RES_IMPUTED,OBSERVED_COUNT,CONFIDENCE_SCORE,CONFIDENCE_TIER,AI_NORM,LEGAL_NORM,PQC_NORM,RES_NORM,QSSI_ENTROPY,QSSI_CRITIC,QSSI_PCA,QSSI_SCORE,RANK_ENTROPY,RANK_CRITIC,RANK_PCA,QSSI_KNN_SCORE,KNN_RANK,QSSI_TIER,QSSI_RANK,HIGH_CONF_RANK
Hungary,0.7380445172095522,0.555070976174037,0.9468988954970264,0.3087459909887522,True,True,True,True,False,False,False,False,4,1.0,A,0.7776107982396114,0.5437236346136015,0.9635649612741356,0.2766505912117928,0.6437173731219168,0.661043771519082,0.6907370835343399,0.6651660760584462,40.0,33.0,34.0,0.6651660760584462,39,Gold,39,34
Chile,0.6894589715685118,0.698529211303743,0.8584324553950722,0.3056448142298205,True,True,True,True,False,False,False,False,4,1.0,A,0.7260004463282524,0.7059984455433026,0.8726955383440601,0.2712394380384483,0.6467067567575491,0.6545253379892519,0.6940438022135759,0.665091965653459,39.0,34.0,33.0,0.665091965653459,40,Silver,40,35
Uruguay,0.6743093254595549,0.7147129937076987,0.8141461342395921,0.3008470431696006,True,True,True,True,False,False,False,False,4,1.0,A,0.7099076237263928,0.7243049598215165,0.8272062834078759,0.2628679467899351,0.6359121093330098,0.6397573952215935,0.6814019610768766,0.6523571552104932,41.0,39.0,36.0,0.6523571552104932,41,Silver,41,36
Romania,0.6618152681024874,0.5630706906556661,0.9380841121495328,0.3381785657104029,True,True,True,True,False,False,False,False,4,1.0,A,0.6966357197374362,0.5527726247522593,0.9545107450638158,0.3280066352186566,0.6234054125606266,0.6481827319447919,0.6687847699827477,0.6467909714960554,44.0,35.0,39.0,0.6467909714960554,42,Silver,42,37
Malta,0.7284453468786497,0.6159298724988426,0.5751911639762107,0.4503893289071978,True,True,True,True,False,False,False,False,4,1.0,A,0.7674140092090799,0.6125650356357804,0.5817606632486091,0.5237999338776186,0.650140188161924,0.6304577531881543,0.6491989392088664,0.6432656268529815,38.0,42.0,44.0,0.6432656268529815,43,Silver,43,38
Jordan,0.6523785054045246,0.5474503285051612,0.9468988954970264,0.3433287020041328,True,True,True,True,False,False,False,False,4,1.0,A,0.6866114494051824,0.5351034312595689,0.9635649612741356,0.3369929583196246,0.6185550390984608,0.6459262179084255,0.6637191547661495,0.6427334705910118,45.0,36.0,41.0,0.6427334705910118,44,Silver,44,39
Malaysia,0.694076623688973,0.6343759533959803,0.7256796941376381,0.3700095659368269,True,True,True,True,False,False,False,False,4,1.0,A,0.7309055811332,0.6334305808397249,0.7363368604778008,0.3835476221649402,0.634453100729702,0.6314888704825022,0.6591924028199269,0.6417114580107102,42.0,41.0,43.0,0.6417114580107102,45,Silver,45,40
Serbia,0.733904250630777,0.4595242202315567,0.8141461342395921,0.3593533707365106,True,True,True,False,False,False,False,True,3,0.75,B,0.7732127697247906,0.4356445707557911,0.8272062834078759,0.364953936942743,0.6123034261715485,0.6201579494344943,0.638485363280339,0.6253921763450796,47.0,45.0,45.0,0.6253921763450796,46,Silver,46,41
Oman,0.6513333733020896,0.6219728920815022,0.5751911639762107,0.435304029798536,True,True,True,True,False,False,False,False,4,1.0,A,0.6855012501702279,0.6194006826750315,0.5817606632486091,0.497478034002809,0.6137407795782832,0.6012012974482517,0.6180183822457471,0.6109868197574273,46.0,46.0,46.0,0.6109868197574273,48,Silver,48,42
Qatar,0.6568301168714523,0.6930377838391899,0.3893372982158029,0.4902462445082824,True,True,True,True,False,False,False,False,4,1.0,A,0.6913402063091022,0.6997867397270501,0.3908585142358459,0.5933451072423346,0.6262743546972336,0.5923488111374493,0.6099246513290502,0.6095159390545777,43.0,47.0,47.0,0.6095159390545777,49,Silver,49,43
