iso3,country,PQC_SCORE,AI_INDEX,LEGAL_WGI_SCORE,RES_INDEX,PQC_NORM,AI_NORM,LEGAL_NORM,RES_NORM,QSSI_GLOBAL_SCORE,RANK,SOVEREIGN_TIER
DNK,Denmark,0.9027187765505524,0.9245908016099024,1.0000000000000002,0.7807155523956935,0.9027187765505524,0.9245908016099024,1.0,0.7807155523956935,0.9081064438467801,1,Elite Sovereign Digital Power
NOR,Norway,0.796516567544605,0.901367837230326,0.956107051772808,1.0,0.796516567544605,0.901367837230326,0.9561070517728077,1.0,0.903323692514165,2,Elite Sovereign Digital Power
USA,United States,0.8496176720475787,1.0,0.7924757003896106,0.7811399250869977,0.8496176720475787,1.0,0.7924757003896103,0.7811399250869977,0.8592322117290757,3,Elite Sovereign Digital Power
SGP,Singapore,0.8584324553950722,0.9042673194469224,0.979316777565422,0.601665651863294,0.8584324553950722,0.9042673194469224,0.9793167775654218,0.601665651863294,0.8487588912442665,4,Advanced Strategic System
IRL,Ireland,0.7787807986406118,0.8393578159992189,0.9042621625174444,0.8905932212335377,0.7787807986406118,0.8393578159992189,0.9042621625174442,0.8905932212335377,0.8476578784680568,5,Advanced Strategic System
DEU,Germany,0.9203483432455396,0.9067441105003616,0.8959464775918612,0.6001850015055268,0.9203483432455396,0.9067441105003616,0.895946477591861,0.6001850015055268,0.8468141502978228,6,Advanced Strategic System
AUS,Australia,0.884983007646559,0.9172218414278416,0.9208145048971133,0.6015587414803137,0.884983007646559,0.9172218414278416,0.920814504897113,0.6015587414803137,0.8453157371712691,7,Advanced Strategic System
FIN,Finland,0.9734494477485132,0.8272939646835228,0.9916681372908892,0.4314492133955137,0.9734494477485132,0.8272939646835228,0.991668137290889,0.4314492133955137,0.8330652024972597,8,Advanced Strategic System
CAN,Canada,0.9823704333050128,0.8770298175437337,0.8810606136280699,0.4852255636892076,0.9823704333050128,0.8770298175437337,0.8810606136280696,0.4852255636892076,0.8312788505222963,9,Advanced Strategic System
LUX,Luxembourg,0.7787807986406118,0.7777101014793892,0.9700320069449,0.7959916029901156,0.7787807986406118,0.7777101014793892,0.9700320069448998,0.7959916029901156,0.8297680872962789,10,Advanced Strategic System
FRA,France,0.9027187765505524,0.9557371682459136,0.7789699880684355,0.478640518318207,0.9027187765505524,0.9557371682459136,0.7789699880684353,0.478640518318207,0.8002205257073943,11,Advanced Strategic System
EST,Estonia,0.9823704333050128,0.8655859353861813,0.8597597518249501,0.3572900758335642,0.9823704333050128,0.8655859353861813,0.8597597518249499,0.3572900758335642,0.7975055669609994,12,Advanced Strategic System
SWE,Sweden,0.7610450297366185,0.8211488181784009,0.9386113016728084,0.6336690767457831,0.7610450297366185,0.8211488181784009,0.9386113016728082,0.6336690767457831,0.7949873542329444,13,Advanced Strategic System
CHE,Switzerland,0.796516567544605,0.7411088954293581,0.95351181725849,0.6599283194211424,0.796516567544605,0.7411088954293581,0.9535118172584898,0.6599283194211424,0.794595812319572,14,Advanced Strategic System
BEL,Belgium,0.955819881053526,0.7872679980420839,0.8190139745385882,0.5057955023653962,0.955819881053526,0.7872679980420839,0.8190139745385879,0.5057955023653962,0.7894755579343051,15,Advanced Strategic System
ESP,Spain,0.9027187765505524,0.8962945147460656,0.7068256661933585,0.5557764540671196,0.9027187765505524,0.8962945147460656,0.7068256661933584,0.5557764540671196,0.7827509690134457,16,Advanced Strategic System
NLD,Netherlands,0.8230671197960918,0.9214648776987578,0.935703718236326,0.3572900758335642,0.8230671197960918,0.9214648776987578,0.9357037182363258,0.3572900758335642,0.7826703000893113,17,Advanced Strategic System
ARE,United Arab Emirates,0.840696686491079,0.798396918880025,0.7481582914416561,0.7134355709096052,0.840696686491079,0.798396918880025,0.748158291441656,0.7134355709096052,0.7815349227096651,18,Advanced Strategic System
AUT,Austria,0.8584324553950722,0.8297858518499326,0.8589103437693539,0.4886208414693693,0.8584324553950722,0.8297858518499326,0.8589103437693537,0.4886208414693693,0.7774279538172171,19,Advanced Strategic System
JPN,Japan,0.8318819031435853,0.8433291222366771,0.8849894369851298,0.475384040747749,0.8318819031435853,0.8433291222366771,0.8849894369851296,0.475384040747749,0.776721018898077,20,Advanced Strategic System
CZE,Czech Republic,1.0,0.7692391250505265,0.7786810250597749,0.4322817258125169,1.0,0.7692391250505265,0.7786810250597747,0.4322817258125169,0.7734363826900785,21,Advanced Strategic System
LTU,Lithuania,0.9646346644010196,0.7909826703590542,0.7992795617720378,0.3572900758335642,0.9646346644010196,0.7909826703590542,0.7992795617720376,0.3572900758335642,0.7584139725197916,22,Advanced Strategic System
ISL,Iceland,0.7875955819881053,0.7250867769364174,0.8947188602191134,0.5187453492638012,0.7875955819881053,0.7250867769364174,0.8947188602191132,0.5187453492638012,0.7449791537380744,23,Emerging Sovereign Digital Power
POL,Poland,0.9380841121495328,0.8522842028069547,0.6676324226007693,0.3572900758335642,0.9380841121495328,0.8522842028069547,0.6676324226007692,0.3572900758335642,0.7328624051635036,24,Emerging Sovereign Digital Power
PRT,Portugal,0.8496176720475787,0.7828890967544386,0.720125887111631,0.4789632692567698,0.8496176720475787,0.7828890967544386,0.7201258871116308,0.4789632692567698,0.7264317014321449,25,Emerging Sovereign Digital Power
ITA,Italy,0.8937977909940527,0.8085425353221671,0.6598092469194647,0.4492519540171668,0.8937977909940527,0.8085425353221671,0.6598092469194646,0.4492519540171668,0.7250776736620571,26,Emerging Sovereign Digital Power
CYP,Cyprus,0.8672472387425658,0.7038575279952438,0.6738224025206165,0.5334591866779796,0.8672472387425658,0.7038575279952438,0.6738224025206164,0.5334591866779796,0.7112859915873307,27,Emerging Sovereign Digital Power
SAU,Saudi Arabia,0.7875955819881053,0.8615089563579337,0.6502846459962025,0.4825180413710256,0.7875955819881053,0.8615089563579337,0.6502846459962024,0.4825180413710256,0.7107306834591708,28,Emerging Sovereign Digital Power
SVN,Slovenia,0.9027187765505524,0.7549410490152872,0.7172814989280718,0.3572900758335642,0.9027187765505524,0.7549410490152872,0.7172814989280717,0.3572900758335642,0.7103292851177182,29,Emerging Sovereign Digital Power
NZL,New Zealand,0.6460280373831776,0.7589576435916553,0.947905565385906,0.4131266398836444,0.6460280373831776,0.7589576435916553,0.9479055653859058,0.4131266398836444,0.7031495414360724,30,Emerging Sovereign Digital Power
GRC,Greece,0.8584324553950722,0.7270955884877905,0.5785205055862283,0.5658424244662463,0.8584324553950722,0.7270955884877905,0.5785205055862281,0.5658424244662463,0.6971022450302755,31,Emerging Sovereign Digital Power
LVA,Latvia,0.8672472387425658,0.6950986968935751,0.7320649674249119,0.3572900758335642,0.8672472387425658,0.6950986968935751,0.7320649674249118,0.3572900758335642,0.6884231028691042,32,Emerging Sovereign Digital Power
HUN,Hungary,0.9468988954970264,0.7532794480622215,0.5653629082554481,0.3332674794795003,0.9468988954970264,0.7532794480622215,0.565362908255448,0.3332674794795003,0.6803837536244254,33,Emerging Sovereign Digital Power
CHL,Chile,0.8584324553950722,0.7014562175066537,0.716978476555781,0.3182658262780897,0.8584324553950722,0.7014562175066537,0.7169784765557808,0.3182658262780897,0.6757915753897482,34,Emerging Sovereign Digital Power
JOR,Jordan,0.9468988954970264,0.661833731809889,0.5573089347342447,0.4114382460447071,0.9468988954970264,0.661833731809889,0.5573089347342446,0.4114382460447071,0.6711429844940827,35,Emerging Sovereign Digital Power
IND,India,0.7610450297366185,0.796388107328652,0.497457584198248,0.5869842045594887,0.7610450297366185,0.796388107328652,0.49745758419824787,0.5869842045594887,0.6691717727146083,36,Emerging Sovereign Digital Power
,Congo (Democratic Republic of the),0.1858538657604078,0.9355828289047364,0.8604133112440454,0.7882468059935648,0.1858538657604078,0.9355828289047364,0.8604133112440452,0.7882468059935648,0.6624045559640307,37,Emerging Sovereign Digital Power
ROU,Romania,0.9380841121495328,0.6732354112076663,0.5738175031155897,0.3176305199991738,0.9380841121495328,0.6732354112076663,0.5738175031155895,0.3176305199991738,0.6567145662255085,38,Emerging Sovereign Digital Power
ISR,,0.6017417162276976,0.8479203976322791,0.7294168271233925,0.4083977840494854,0.6017417162276976,0.8479203976322791,0.7294168271233924,0.4083977840494854,0.6565363778671243,39,Emerging Sovereign Digital Power
KOR,,0.6017417162276976,0.9299811424665304,0.4893867991225805,0.5739780398870943,0.6017417162276976,0.9299811424665304,0.4893867991225804,0.5739780398870943,0.6501601082430057,40,Emerging Sovereign Digital Power
